Identifier,Filtered,Date,Site,Sampling,TN_ug_l,TP_ug_l
257673,F,2022-07-28,8,8,518.669,4.204
259502,UF,2022-08-11,8,9,741.684,28.387
259503,F,2022-08-11,8,9,569.689,4.948
262932,UF,2022-08-18,8,10,665.324,21.709
262933,F,2022-08-18,8,10,520.952,6.418
265852,UF,2022-09-09,8,11,628.23,29.284
265853,F,2022-09-09,8,11,408.974,9.868
266342,UF,2022-09-23,8,12,694.987,33.122
266343,F,2022-09-23,8,12,331.838,2.834
266652,UF,2022-10-21,8,13,613.951,24.965
266653,F,2022-10-21,8,13,457.758,8.519
268002,UF,2022-10-28,8,14,699.571,29.949
268003,F,2022-10-28,8,14,434.932,4.233
269172,UF,2023-01-23,8,15,456.564,9.595
269173,F,2023-01-23,8,15,452.602,4.192
269252,UF,2023-02-10,8,16,571.394,13.872
269253,F,2023-02-10,8,16,474.525,6.012
269942,UF,2023-02-17,8,17,485.26,20.972
269943,F,2023-02-17,8,17,323.452,1.268
270302,UF,2023-03-23,8,18,1036.991,18.95
270303,F,2023-03-23,8,18,871.416,3.872
270382,UF,2023-04-07,8,19,728.038,28.457
270383,F,2023-04-07,8,19,500.773,10.25
270872,UF,2023-04-27,8,20,623.074,23.319
270873,F,2023-04-27,8,20,474.44,10.867
271262,UF,2023-05-04,8,21,553.918,17.648
271263,F,2023-05-04,8,21,398.361,3.339
271702,UF,2023-05-17,8,22,611.493,25.486
271703,F,2023-05-17,8,22,410.774,7.747
