sampledate,site,Depth,Temp_C,pH,DO_mgL,DO_perc,Conductivity,dic
2022-06-16,1,3,23.4,8.55,8.5,103.4,779,NA
2022-06-16,1,3.25,21.8,7.93,3.61,41.5,805,NA
2022-06-20,1,0.5,24.1,8.6,10.15,120.8,759,NA
2022-06-20,1,0.75,24.1,8.6,10.14,120.9,759,NA
2022-06-20,1,1,24.1,8.59,10.16,121.2,759,NA
2022-06-20,1,1.25,24,8.6,10.19,121.4,759,NA
2022-06-20,1,1.5,24,8.59,10.21,121.6,759,NA
2022-06-20,1,1.75,24,8.6,10.24,121.8,760,NA
2022-06-20,1,2,24,8.6,10.25,121.8,760,NA
2022-06-20,1,2.25,23.9,8.6,10.21,121.1,759,NA
2022-06-20,1,2.5,23.8,8.58,10.11,120,760,NA
2022-06-20,1,2.75,23.8,8.56,9.95,118.3,761,NA
2022-06-20,1,3,23.7,8.44,8.26,98,764,NA
2022-06-20,1,3.25,23.6,8.27,7.04,83.1,771,NA
2022-06-23,1,0,25.9,8.68,10.58,130.5,753,NA
2022-06-23,1,0.5,25.9,8.69,10.6,130.7,753,NA
2022-06-23,1,0.75,25.9,8.69,10.65,131.2,753,NA
2022-06-23,1,1,25.9,8.69,10.74,132.2,753,NA
2022-06-23,1,1.25,25.8,8.7,10.89,134.1,753,NA
2022-06-23,1,1.5,25.8,8.7,10.95,134.5,753,NA
2022-06-23,1,1.75,25.8,8.7,10.97,134.8,752,NA
2022-06-23,1,2,25.7,8.69,10.84,133.3,752,NA
2022-06-23,1,2.25,25.7,8.68,10.76,132.3,751,NA
2022-06-23,1,2.5,25.6,8.66,10.62,130.2,753,NA
2022-06-23,1,2.75,24.9,8.33,8.09,97.9,763,NA
2022-06-23,1,3,24.2,7.99,6.21,74.3,790,NA
2022-06-23,1,3.25,23.9,7.86,5.64,67.1,808,NA
2022-06-23,1,3.5,23.6,7.63,3.41,40.2,834,NA
2022-06-28,1,0.5,24.8,8.65,9.61,116.2,748,NA
2022-06-28,1,0.75,24.8,8.65,9.64,116.5,749,NA
2022-06-28,1,1,24.8,8.64,9.63,116.3,749,NA
2022-06-28,1,1.25,24.8,8.64,9.65,116.7,749,NA
2022-06-28,1,1.5,24.8,8.64,9.65,116.6,749,NA
2022-06-28,1,1.75,24.8,8.64,9.64,116.5,748,NA
2022-06-28,1,2,24.8,8.64,9.65,116.6,748,NA
2022-06-28,1,2.25,24.8,8.64,9.64,116.5,748,NA
2022-06-28,1,2.5,24.8,8.64,9.65,116.6,748,NA
2022-06-28,1,2.75,24.8,8.64,9.64,116.5,748,NA
2022-06-28,1,3,24.7,8.65,9.63,116.2,747,NA
2022-07-01,1,0,25.3,8.79,9.5,115.9,745,NA
2022-07-01,1,0.5,25.3,8.79,9.53,116.3,745,NA
2022-07-01,1,0.75,25.3,8.79,9.54,116.4,745,NA
2022-07-01,1,1,25.3,8.79,9.55,116.4,745,NA
2022-07-01,1,1.25,25.3,8.79,9.55,116.4,745,NA
2022-07-01,1,1.5,25.3,8.79,9.55,116.5,745,NA
2022-07-01,1,1.75,25.3,8.79,9.56,116.5,745,NA
2022-07-01,1,2,25.3,8.79,9.56,116.5,744,NA
2022-07-01,1,2.25,25.3,8.79,9.56,116.5,744,NA
2022-07-01,1,2.5,25.2,8.79,9.59,116.8,744,NA
2022-07-01,1,2.75,25.2,8.79,9.65,117.4,744,NA
2022-07-01,1,3,25.1,8.79,9.66,117.4,744,NA
2022-07-05,1,0,26.3,8.89,10.77,133.6,736,NA
2022-07-05,1,0.5,26.2,8.89,10.91,135.1,737,NA
2022-07-05,1,0.75,25.9,8.9,11.29,139.2,737,NA
2022-07-05,1,1,25.6,8.9,11.35,139.2,736,NA
2022-07-05,1,1.25,25.6,8.9,11.42,140.1,736,NA
2022-07-05,1,1.5,25.6,8.9,11.4,139.7,736,NA
2022-07-05,1,1.75,25.5,8.89,11.31,138.5,737,NA
2022-07-05,1,2,25.5,8.87,11.18,136.8,737,NA
2022-07-05,1,2.25,25.5,8.85,10.91,133.3,739,NA
2022-07-05,1,2.5,25.3,8.76,10.43,127.1,750,NA
2022-07-05,1,2.75,24.9,8.44,8.68,105.2,777,NA
2022-07-05,1,3,24.7,8.16,7.14,86.2,807,NA
2022-07-05,1,3.25,24.2,7.78,5.26,63,865,NA
2022-07-07,1,0.5,26.1,8.89,10.5,129.7,722,NA
2022-07-07,1,0.75,26.1,8.89,10.51,130,722,NA
2022-07-07,1,1,26,8.9,10.56,130.4,721,NA
2022-07-07,1,1.25,26,8.91,10.55,130.3,721,NA
2022-07-07,1,1.5,26,8.91,10.52,129.8,721,NA
2022-07-07,1,1.75,25.9,8.91,10.44,128.8,721,NA
2022-07-07,1,2,25.9,8.9,10.35,127.7,721,NA
2022-07-07,1,2.25,25.9,8.89,10.26,126.6,722,NA
2022-07-07,1,2.5,25.9,8.88,10.16,125.3,723,NA
2022-07-07,1,2.75,25.8,8.72,8.69,106.3,739,NA
2022-07-07,1,3,25.2,7.95,5.06,62.1,805,NA
2022-07-07,1,3.25,25.1,7.72,3.4,41.4,822,NA
2022-07-07,1,3.5,24.5,7.32,1.28,17,856,NA
2022-07-11,1,0,25.2,8.74,8.94,108.7,732,NA
2022-07-11,1,0.5,25.2,8.74,8.97,109.1,732,NA
2022-07-11,1,0.75,25.2,8.74,8.98,109.2,732,NA
2022-07-11,1,1,25.2,8.74,8.97,109.1,732,NA
2022-07-11,1,1.25,25.2,8.74,8.97,109.1,732,NA
2022-07-11,1,1.5,25.2,8.74,8.98,109.2,732,NA
2022-07-11,1,1.75,25.2,8.73,8.94,108.7,733,NA
2022-07-11,1,2,25.2,8.73,8.92,108.5,733,NA
2022-07-11,1,2.25,25.2,8.73,8.92,108.4,733,NA
2022-07-11,1,2.5,25.2,8.72,8.91,108.4,733,NA
2022-07-11,1,2.75,25.2,8.72,8.9,108.2,733,NA
2022-07-11,1,3,25.2,8.72,8.89,108.1,733,NA
2022-07-11,1,3.25,25.2,8.71,8.87,107.9,733,NA
2022-07-13,1,0.5,25.5,8.8,9.38,114.8,732,NA
2022-07-13,1,0.75,25.5,8.8,9.4,115,733,NA
2022-07-13,1,1,25.4,8.8,9.44,115.5,732,NA
2022-07-13,1,1.25,25.4,8.79,9.47,115.8,732,NA
2022-07-13,1,1.5,25.4,8.79,9.48,115.8,732,NA
2022-07-13,1,1.75,25.4,8.79,9.54,116.3,733,NA
2022-07-13,1,2,25.3,8.78,9.55,116.4,733,NA
2022-07-13,1,2.25,25.3,8.77,9.55,116.3,734,NA
2022-07-13,1,2.5,25.2,8.76,9.52,116,734,NA
2022-07-13,1,2.75,25.2,8.76,9.49,115.6,734,NA
2022-07-13,1,3,25.2,8.72,9.07,110.3,737,NA
2022-07-13,1,3.25,25,8.59,8.12,97.6,742,NA
2022-07-13,1,3.5,24.5,8.14,6.65,80.8,781,NA
2022-07-18,1,0,26.3,8.88,10.99,136.4,719,NA
2022-07-18,1,0.5,26.3,8.88,11.1,136.8,719,NA
2022-07-18,1,0.75,26.3,8.88,11.12,138,719,NA
2022-07-18,1,1,26.2,8.89,11.1,137.6,718,NA
2022-07-18,1,1.25,26.1,8.9,11.15,138,717,NA
2022-07-18,1,1.5,25.9,8.91,11.13,137.2,716,NA
2022-07-18,1,1.75,25.8,8.9,10.96,134.7,715,NA
2022-07-18,1,2,25.4,8.74,9.16,113.3,720,NA
2022-07-18,1,2.25,25.1,8.64,8.07,97.6,726,NA
2022-07-18,1,2.5,24.8,8.38,6.75,81.7,738,NA
2022-07-18,1,2.75,24.7,8.3,6.35,76.6,740,NA
2022-07-18,1,3,24.5,8.12,6.21,74.7,735,NA
2022-07-21,1,0.5,26.2,8.77,8.53,105.6,723,NA
2022-07-21,1,0.75,26.1,8.79,8.65,107,721,NA
2022-07-21,1,1,26,8.81,8.84,109.1,720,NA
2022-07-21,1,1.25,25.9,8.8,8.77,108.1,720,NA
2022-07-21,1,1.5,25.8,8.76,8.64,106.4,722,NA
2022-07-21,1,1.75,25.8,8.74,8.46,104,724,NA
2022-07-21,1,2,25.7,8.71,8.43,103.6,727,NA
2022-07-21,1,2.25,25.7,8.7,8.44,103.6,727,NA
2022-07-21,1,2.5,25.7,8.69,8.42,103.4,729,NA
2022-07-21,1,2.75,25.6,8.68,8.37,102.6,730,NA
2022-07-21,1,3,25.6,8.62,7.93,97.1,733,NA
2022-07-21,1,3.25,25.5,8.59,7.68,94,736,NA
2022-07-25,1,0,26,8.77,8.4,103.8,731,NA
2022-07-25,1,0.5,26.1,8.77,8.43,104.2,731,NA
2022-07-25,1,0.75,26.1,8.77,8.44,104.3,731,NA
2022-07-25,1,1,26,8.77,8.45,104.4,731,NA
2022-07-25,1,1.25,26,8.77,8.46,104.5,730,NA
2022-07-25,1,1.5,26,8.77,8.46,104.5,730,NA
2022-07-25,1,1.75,25.9,8.76,8.45,104.2,730,NA
2022-07-25,1,2,25.9,8.76,8.43,103.9,731,NA
2022-07-25,1,2.25,25.8,8.74,8.42,103.7,731,NA
2022-07-25,1,2.5,25.8,8.75,8.49,104.4,731,NA
2022-07-25,1,2.75,25.8,8.74,8.53,104.8,731,NA
2022-07-25,1,3,25.7,8.75,8.69,106.8,733,NA
2022-07-25,1,3.25,25.7,8.68,8.17,100.1,742,NA
2022-07-28,1,0.5,25.6,8.79,8.59,105.3,723,NA
2022-07-28,1,0.75,25.6,8.79,8.59,105.4,723,NA
2022-07-28,1,1,25.6,8.79,8.61,105.6,723,NA
2022-07-28,1,1.25,25.6,8.78,8.59,105.5,723,NA
2022-07-28,1,1.5,25.6,8.78,8.6,105.5,723,NA
2022-07-28,1,1.75,25.6,8.78,8.61,105.6,723,NA
2022-07-28,1,2,25.6,8.78,8.64,105.9,723,NA
2022-07-28,1,2.25,25.6,8.78,8.64,105.9,723,NA
2022-07-28,1,2.5,25.6,8.77,8.61,105.5,724,NA
2022-07-28,1,2.75,25.6,8.76,8.55,104.7,724,NA
2022-07-28,1,3,25.5,8.74,8.41,103,725,NA
2022-07-28,1,3.25,25.5,8.74,8.41,103,725,NA
2022-08-02,1,0,25.5,8.81,9.55,116.9,724,NA
2022-08-02,1,0.5,25.6,8.81,9.58,117.3,724,NA
2022-08-02,1,0.75,25.5,8.81,9.62,117.7,723,NA
2022-08-02,1,1,25.5,8.81,9.64,117.8,722,NA
2022-08-02,1,1.25,25.5,8.8,9.61,117.6,722,NA
2022-08-02,1,1.5,25.5,8.8,9.6,117.4,722,NA
2022-08-02,1,1.75,25.5,8.8,9.6,117.4,721,NA
2022-08-02,1,2,25.5,8.8,9.52,116.5,721,NA
2022-08-02,1,2.25,25.5,8.8,9.52,116.5,721,NA
2022-08-02,1,2.5,25.4,8.79,9.44,115.4,720,NA
2022-08-02,1,2.75,25.4,8.76,8.82,107.8,720,NA
2022-08-02,1,3,25.1,8.2,5.31,64.3,749,NA
2022-08-02,1,3.25,24.7,7.8,3.67,44.3,776,NA
2022-08-04,1,0,25.7,8.81,8.84,108.5,723,NA
2022-08-04,1,0.5,25.6,8.81,8.86,108.5,723,NA
2022-08-04,1,0.75,25.6,8.81,8.85,108.6,723,NA
2022-08-04,1,1,25.6,8.81,8.85,108.4,722,NA
2022-08-04,1,1.25,25.5,8.81,8.83,108,721,NA
2022-08-04,1,1.5,25.4,8.81,8.84,108,721,NA
2022-08-04,1,1.75,25.4,8.81,8.83,108,721,NA
2022-08-04,1,2,25.4,8.8,8.84,108,721,NA
2022-08-04,1,2.25,25.3,8.8,8.85,108,721,NA
